ID,E_Fiorenza,K_Dobkowski,C_Wendt,Include_title,EF_Abs,KD_Abs,CW_Abs,Notes,Include_abstract,Method_Counting_parasites,Portion_of_Body,Geographic_Location_Name,Latitude_decimaldegrees,Longitude_decimaldegrees,Depth_m,Depth_min_m,Depth_max_m,Month_season_collection,Year_collection,Year_collection_min,Year_collection_max,Length_cm,Length_SD_cm,Length_SE_cm,Length_min_cm,Length_max_cm,Length_median_cm,Length_PAL_cm,Length_SL_cm,Length_SL_SE_cm,Length_SL_min_cm,Length_SL_max_cm,Length_TL_cm,Length_TL_cm_SE,Length_TL_cm_SD,Length_TL_cm_min,Length_TL_cm_max,Length_FL_cm_mean,Length_FL_cm_SE,Length_FL_SD,Length_FL_cm_min,Length_FL_cm_max,Length_Dorsal_Mantle_cm,Length_Dorsal_Mantle_SE_cm,Length_Dorsal_Mantle_Range_Min_cm,Length_Dorsal_Mantle_Range_Max_cm,Weight_kg,Weight_SE_kg,Weight_SD_kg,Weight_Min_kg,Weight_Max_kg,Age_mean_yrs,Age_SE_yrs,Age_Min,Age_Max,Wild_Farmed,Host,Parasite,Total_Fish_Examined,Implicit,Prevalence,Intensity_Mean,Intensity_SE,Intensity_SD,Intensity_ConfidenceLevel95_Min,Intensity_ConfidenceLevel95_Max,Intensity_Range_Low,Intensity_Range_High,Abundance_mean_per_fish,Abundance_SE,Abundance_SD,Abundance_Variance,Abundance_ConfidenceLevel95_Min,Abundance_ConfidenceLevel95_Max,Abundance_Range_Min,Abundance_Range_Max,Total_Number_of_Parasites,Percent_in_Flesh,Use_Data,Exclusion_Reason,Person_collecting_data,Title,Authors_List,CA,GP,Publication_Type,SO,VL,IS,SI,MA,BP,EP,AR,Year,CT,CY,SP,CL
1206_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Sesimbra,38.425169,-9.090016,,,,Autumn,2005,,,,,,,,,,,,,,,,,,,97.8,,13.4,,,,,,,,,,,,,,,,Wild,Aphanopus carbo,Anisakis sp,30,,,,,,,,,,112.6,,91.4,,,,,,,,,,EF,Parasitic infection levels by Anisakis spp. larvae (Nematoda  Anisakidae) in the black scabbardfish Aphanopus carbo (Osteichthyes  Trichiuridae) from Portuguese waters,Cruz  Cristina  Saraiva  Aurelia  Santos  Maria Joao  Eiras  Jorge C.  Ventura  Carla  Soares  Joao Paulo  Hermida  Margarida,,,J,SCIENTIA MARINA,73,,,,115,120,,2009,,,,
1206_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Sesimbra,38.425169,-9.090016,,,,Winter,2005,,,,,,,,,,,,,,,,,,,98.3,,7.9,,,,,,,,,,,,,,,,Wild,Aphanopus carbo,Anisakis sp,30,,,,,,,,,,88.3,,74.9,,,,,,,,,,EF,Parasitic infection levels by Anisakis spp. larvae (Nematoda  Anisakidae) in the black scabbardfish Aphanopus carbo (Osteichthyes  Trichiuridae) from Portuguese waters,Cruz  Cristina  Saraiva  Aurelia  Santos  Maria Joao  Eiras  Jorge C.  Ventura  Carla  Soares  Joao Paulo  Hermida  Margarida,,,J,SCIENTIA MARINA,73,,,,115,120,,2009,,,,
1206_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Sesimbra,38.425169,-9.090016,,,,Spring,2006,,,,,,,,,,,,,,,,,,,98.7,,6.4,,,,,,,,,,,,,,,,Wild,Aphanopus carbo,Anisakis sp,29,,,,,,,,,,128.4,,142.8,,,,,,,,,,EF,Parasitic infection levels by Anisakis spp. larvae (Nematoda  Anisakidae) in the black scabbardfish Aphanopus carbo (Osteichthyes  Trichiuridae) from Portuguese waters,Cruz  Cristina  Saraiva  Aurelia  Santos  Maria Joao  Eiras  Jorge C.  Ventura  Carla  Soares  Joao Paulo  Hermida  Margarida,,,J,SCIENTIA MARINA,73,,,,115,120,,2009,,,,
1206_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Sesimbra,38.425169,-9.090016,,,,Summer,2006,,,,,,,,,,,,,,,,,,,101.9,,6.2,,,,,,,,,,,,,,,,Wild,Aphanopus carbo,Anisakis sp,27,,,,,,,,,,290.1,,469.6,,,,,,,,,,EF,Parasitic infection levels by Anisakis spp. larvae (Nematoda  Anisakidae) in the black scabbardfish Aphanopus carbo (Osteichthyes  Trichiuridae) from Portuguese waters,Cruz  Cristina  Saraiva  Aurelia  Santos  Maria Joao  Eiras  Jorge C.  Ventura  Carla  Soares  Joao Paulo  Hermida  Margarida,,,J,SCIENTIA MARINA,73,,,,115,120,,2009,,,,
1206_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Azores,38.769465,-28.605325,,,,Autumn,2005,,,,,,,,,,,,,,,,,,,111.9,,5.6,,,,,,,,,,,,,,,,Wild,Aphanopus carbo,Anisakis sp,26,,,,,,,,,,42.6,,18.8,,,,,,,,,,EF,Parasitic infection levels by Anisakis spp. larvae (Nematoda  Anisakidae) in the black scabbardfish Aphanopus carbo (Osteichthyes  Trichiuridae) from Portuguese waters,Cruz  Cristina  Saraiva  Aurelia  Santos  Maria Joao  Eiras  Jorge C.  Ventura  Carla  Soares  Joao Paulo  Hermida  Margarida,,,J,SCIENTIA MARINA,73,,,,115,120,,2009,,,,
1206_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Azores,38.769465,-28.605325,,,,Spring,2006,,,,,,,,,,,,,,,,,,,101.9,,4.5,,,,,,,,,,,,,,,,Wild,Aphanopus carbo,Anisakis sp,25,,,,,,,,,,65.2,,29.2,,,,,,,,,,EF,Parasitic infection levels by Anisakis spp. larvae (Nematoda  Anisakidae) in the black scabbardfish Aphanopus carbo (Osteichthyes  Trichiuridae) from Portuguese waters,Cruz  Cristina  Saraiva  Aurelia  Santos  Maria Joao  Eiras  Jorge C.  Ventura  Carla  Soares  Joao Paulo  Hermida  Margarida,,,J,SCIENTIA MARINA,73,,,,115,120,,2009,,,,
1223_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Site 3 Dana Point,33.4756,-117.752,,,,,,1998,1999,,,,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,Wild,Genyonemus lineatus,Anisakis sp,49,,100,4.9,0.4,,,,,,,,,,,,,,,,,,EF,Relationships between fish parasitism and pollution exposure in the white croaker  Genyonemus lineatus (Sciaenidae)  from Los Angeles Harbor  Southern California  USA,Hogue  CC  Peng  JS,,,J,COMPARATIVE PARASITOLOGY,70,1,,,84,87,,2003,,,,
1223_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Site 5,33.71083333,-118.2346667,,,,,,1998,1999,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,Wild,Genyonemus lineatus,Anisakis sp,25,,88,2.5,0.4,,,,,,,,,,,,,,,,,,EF,Relationships between fish parasitism and pollution exposure in the white croaker  Genyonemus lineatus (Sciaenidae)  from Los Angeles Harbor  Southern California  USA,Hogue  CC  Peng  JS,,,J,COMPARATIVE PARASITOLOGY,70,1,,,84,87,,2003,,,,
1223_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Site 10,33.71433333,-118.2435,,,,,,1998,1999,,,,,,,,,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,Wild,Genyonemus lineatus,Anisakis sp,40,,73,1.9,0.3,,,,,,,,,,,,,,,,,,EF,Relationships between fish parasitism and pollution exposure in the white croaker  Genyonemus lineatus (Sciaenidae)  from Los Angeles Harbor  Southern California  USA,Hogue  CC  Peng  JS,,,J,COMPARATIVE PARASITOLOGY,70,1,,,84,87,,2003,,,,
1223_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Site 9,33.726,-118.235,,,,,,1998,1999,,,,,,,,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,,Wild,Genyonemus lineatus,Anisakis sp,11,,82,2.4,0.6,,,,,,,,,,,,,,,,,,EF,Relationships between fish parasitism and pollution exposure in the white croaker  Genyonemus lineatus (Sciaenidae)  from Los Angeles Harbor  Southern California  USA,Hogue  CC  Peng  JS,,,J,COMPARATIVE PARASITOLOGY,70,1,,,84,87,,2003,,,,
1223_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Site 7,33.72266667,-118.2426667,,,,,,1998,1999,,,,,,,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,Wild,Genyonemus lineatus,Anisakis sp,34,,71,2.2,0.3,,,,,,,,,,,,,,,,,,EF,Relationships between fish parasitism and pollution exposure in the white croaker  Genyonemus lineatus (Sciaenidae)  from Los Angeles Harbor  Southern California  USA,Hogue  CC  Peng  JS,,,J,COMPARATIVE PARASITOLOGY,70,1,,,84,87,,2003,,,,
1223_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Site 3 Dana Point,33.4756,-117.752,,,,,,1998,1999,,,,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,Wild,Genyonemus lineatus,Pseudoterranova sp,49,1,0,0,,0,,,,,,,,,,,,,,,,,EF,Relationships between fish parasitism and pollution exposure in the white croaker  Genyonemus lineatus (Sciaenidae)  from Los Angeles Harbor  Southern California  USA,Hogue  CC  Peng  JS,,,J,COMPARATIVE PARASITOLOGY,70,1,,,84,87,,2003,,,,
1223_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Site 5,33.71083333,-118.2346667,,,,,,1998,1999,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,Wild,Genyonemus lineatus,Pseudoterranova sp,25,1,0,0,,0,,,,,,,,,,,,,,,,,EF,Relationships between fish parasitism and pollution exposure in the white croaker  Genyonemus lineatus (Sciaenidae)  from Los Angeles Harbor  Southern California  USA,Hogue  CC  Peng  JS,,,J,COMPARATIVE PARASITOLOGY,70,1,,,84,87,,2003,,,,
1223_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Site 10,33.71433333,-118.2435,,,,,,1998,1999,,,,,,,,,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,Wild,Genyonemus lineatus,Pseudoterranova sp,40,1,0,0,,0,,,,,,,,,,,,,,,,,EF,Relationships between fish parasitism and pollution exposure in the white croaker  Genyonemus lineatus (Sciaenidae)  from Los Angeles Harbor  Southern California  USA,Hogue  CC  Peng  JS,,,J,COMPARATIVE PARASITOLOGY,70,1,,,84,87,,2003,,,,
1223_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Site 9,33.726,-118.235,,,,,,1998,1999,,,,,,,,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,,Wild,Genyonemus lineatus,Pseudoterranova sp,11,1,0,0,,0,,,,,,,,,,,,,,,,,EF,Relationships between fish parasitism and pollution exposure in the white croaker  Genyonemus lineatus (Sciaenidae)  from Los Angeles Harbor  Southern California  USA,Hogue  CC  Peng  JS,,,J,COMPARATIVE PARASITOLOGY,70,1,,,84,87,,2003,,,,
1223_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Site 7,33.72266667,-118.2426667,,,,,,1998,1999,,,,,,,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,Wild,Genyonemus lineatus,Pseudoterranova sp,34,1,0,0,,0,,,,,,,,,,,,,,,,,EF,Relationships between fish parasitism and pollution exposure in the white croaker  Genyonemus lineatus (Sciaenidae)  from Los Angeles Harbor  Southern California  USA,Hogue  CC  Peng  JS,,,J,COMPARATIVE PARASITOLOGY,70,1,,,84,87,,2003,,,,
1235_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Elephant Island,-61.175001,-55.006329,,,,,1986,,,,,,,,,,,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,Wild,Harpagifer antarcticus,Pseudoterranova decipiens,6,,83,3.8,,,,,1,10,,,,,,,,,,,,,EF,Endoparasitic worms of Harpagifer antarcticus Nybelin  1947 off the South Shetland Islands (Antarctic),Zdzitowiecki  K  Zadrozny  T,,,J,ACTA PARASITOLOGICA,44,2,,,125,130,,1999,,,,
1235_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Admiralty Bay,-62.143769,-58.443661,,,,,1997,,,,,,,,,,,,,,,,,2.7,10.1,,,,,,,,,,,,,,,,,,,Wild,Harpagifer antarcticus,Pseudoterranova decipiens,44,,7,1.33,,,,,1,2,,,,,,,,,,,,,EF,Endoparasitic worms of Harpagifer antarcticus Nybelin  1947 off the South Shetland Islands (Antarctic),Zdzitowiecki  K  Zadrozny  T,,,J,ACTA PARASITOLOGICA,44,2,,,125,130,,1999,,,,
1235_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Elephant Island,-61.175001,-55.006329,,,,,1986,,,,,,,,,,,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,Wild,Harpagifer antarcticus,Anisakis sp,6,1,0,0,,0,,,,,,,,,,,,,,,,,EF,Endoparasitic worms of Harpagifer antarcticus Nybelin  1947 off the South Shetland Islands (Antarctic),Zdzitowiecki  K  Zadrozny  T,,,J,ACTA PARASITOLOGICA,44,2,,,125,130,,1999,,,,
1235_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Admiralty Bay,-62.143769,-58.443661,,,,,1997,,,,,,,,,,,,,,,,,2.7,10.1,,,,,,,,,,,,,,,,,,,Wild,Harpagifer antarcticus,Anisakis sp,44,1,0,0,,0,,,,,,,,,,,,,,,,,EF,Endoparasitic worms of Harpagifer antarcticus Nybelin  1947 off the South Shetland Islands (Antarctic),Zdzitowiecki  K  Zadrozny  T,,,J,ACTA PARASITOLOGICA,44,2,,,125,130,,1999,,,,
1280_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Whole,Barents Sea,74.83333333,15.19666667,,,,,2006,,,,,,35,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,Reinhardtius hippoglossoides,Anisakis simplex,94,,86.2,45.2,,,,,1,317,,,,,,,,,,,,,EF,ANISAKID NEMATODES OF GREENLAND HALIBUT REINHARDTIUS HIPPOGLOSSOIDES FROM THE BARENTS SEA,Karpiej  Katarzyna  Dzido  Joanna  Rokicki  Jerzy  Kijewska  Agnieszka,,,J,JOURNAL OF PARASITOLOGY,99,4,,,650,654,,2013,,,,
1280_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Whole,Barents Sea,74.83333333,15.19666667,,,,,2006,,,,,,35,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,Reinhardtius hippoglossoides,Pseudoterranova decipiens,94,,14.8,1.5,,,,,1,3,,,,,,,,,,,,,EF,ANISAKID NEMATODES OF GREENLAND HALIBUT REINHARDTIUS HIPPOGLOSSOIDES FROM THE BARENTS SEA,Karpiej  Katarzyna  Dzido  Joanna  Rokicki  Jerzy  Kijewska  Agnieszka,,,J,JOURNAL OF PARASITOLOGY,99,4,,,650,654,,2013,,,,
1295_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,San Quintin,30.56027778,-115.9425,,,,,2005,,,,,,,,,,,,,,,,,37,51,,,,,,,,,,,,,,,,,,,Wild,Caulolatilus princeps,Anisakis sp,91,,,,,,,,,,12.4,,4.7,,,,,,,,,,EF,Parasite structure of the Ocean Whitefish Caulolatilus princeps from Baja California  M xico (East Pacific),Rodriguez-Santiago  M. A.  Rosales-Casian  J. A.,,,J,HELGOLAND MARINE RESEARCH,65,2,,,197,202,,2011,,,,
1295_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,San Quintin,30.56027778,-115.9425,,,,,2005,,,,,,,,,,,,,,,,,37,51,,,,,,,,,,,,,,,,,,,Wild,Caulolatilus princeps,Pseudoterranova sp,91,1,,,,,,,,,0,,0,,,,,,,,,,EF,Parasite structure of the Ocean Whitefish Caulolatilus princeps from Baja California  M xico (East Pacific),Rodriguez-Santiago  M. A.  Rosales-Casian  J. A.,,,J,HELGOLAND MARINE RESEARCH,65,2,,,197,202,,2011,,,,
1298_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Pomeranian Bay,54.25833333,14.54166667,,,,,2002,,,,,,,,,,37.06,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,Gadus morhua,Anisakis simplex,82,,,,,,,,,,2.19,,,,1.59,3.37,,,,,,,EF,Parasite community structure of cod from Bear Island (Barents Sea) and Pomeranian Bay (Baltic Sea),Sobecka  Ewa  Luczak  Ewa  Wiecaszek  Beata  Antoszek  Artur,,,J,POLISH POLAR RESEARCH,32,3,,,253,262,,2011,,,,
1298_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Bear Island,73.5,19.03333333,,,,,2002,,,,,,,,,,42.068,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,Gadus morhua,Anisakis simplex,60,,,,,,,,,,0.18,,,,0.07,0.41,,,,,,,EF,Parasite community structure of cod from Bear Island (Barents Sea) and Pomeranian Bay (Baltic Sea),Sobecka  Ewa  Luczak  Ewa  Wiecaszek  Beata  Antoszek  Artur,,,J,POLISH POLAR RESEARCH,32,3,,,253,262,,2011,,,,
1298_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Pomeranian Bay,54.25833333,14.54166667,,,,,2002,,,,,,,,,,37.06,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,Gadus morhua,Pseudoterranova decipiens,82,,,,,,,,,,0.98,,,,0.63,1.41,,,,,,,EF,Parasite community structure of cod from Bear Island (Barents Sea) and Pomeranian Bay (Baltic Sea),Sobecka  Ewa  Luczak  Ewa  Wiecaszek  Beata  Antoszek  Artur,,,J,POLISH POLAR RESEARCH,32,3,,,253,262,,2011,,,,
1298_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,Bear Island,73.5,19.03333333,,,,,2002,,,,,,,,,,42.068,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,Gadus morhua,Pseudoterranova decipiens,60,,,,,,,,,,0.02,,,,0,0.07,,,,,,,EF,Parasite community structure of cod from Bear Island (Barents Sea) and Pomeranian Bay (Baltic Sea),Sobecka  Ewa  Luczak  Ewa  Wiecaszek  Beata  Antoszek  Artur,,,J,POLISH POLAR RESEARCH,32,3,,,253,262,,2011,,,,
1317_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,South Caspian Sea,38.873086,51.368335,,,,,,1999,2001,,,,,,,,,,,,147.98,,,,,,,,,,,,,,,,,,,,,,,Wild,Acipenser gueldenstaedti,Anisakis sp,78,,,,,,,,,,1.5,,0.58,,,,,,,,,,EF,Occurrence and intensity of some parasitic worms in Acipenser gueldenstaedti  A-nudiventris and Huso huso (Chondrostei   Acipenseridae) from the southwest of the Caspian Sea,Sattari  M  Mokhayer  B,,,J,TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES,29,6,,,1279,1284,,2005,,,,
1317_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,South Caspian Sea,38.873086,51.368335,,,,,,1999,2001,,,,,,,,,,,,168.87,,,,,,,,,,,,,,,,,,,,,,,Wild,Acipenser nudiventris,Anisakis sp,18,1,,,,,,,,,0,,0,,,,,,,,,,EF,Occurrence and intensity of some parasitic worms in Acipenser gueldenstaedti  A-nudiventris and Huso huso (Chondrostei   Acipenseridae) from the southwest of the Caspian Sea,Sattari  M  Mokhayer  B,,,J,TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES,29,6,,,1279,1284,,2005,,,,
1317_Search_1,yes,yes,,1,,yes,,,1,Microscopy,Viscera,South Caspian Sea,38.873086,51.368335,,,,,,1999,2001,,,,,,,,,,,,201.66,,,,,,,,,,,,,,,,,,,,,,,Wild,Huso huso,Anisakis sp,6,,,,,,,,,,0.83,,2.04,,,,,,,,,,EF,Occurrence and intensity of some parasitic worms in Acipenser gueldenstaedti  A-nudiventris and Huso huso (Chondrostei   Acipenseridae) from the southwest of the Caspian Sea,Sattari  M  Mokhayer  B,,,J,TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES,29,6,,,1279,1284,,2005,,,,
